id,first_name,last_name,nationality,gender,date_of_birth
10,Diane,Valkenburg,NED,F,1984-08-30
16,Seong-Kyu,Kim,KOR,M,1992-01-06
18,Jan,Blokhuijsen,NED,M,1989-04-01
25,Thijsje,Oenema,NED,F,1988-06-06
26,Joey,Lindsey,USA,M,1988-07-04
29,Denis,Koval,RUS,M,1991-11-06
33,Patrick,Meek,USA,M,1985-11-10
35,Brian,Hansen,USA,M,1990-09-03
37,Fengtong,Yu,CHN,M,1984-12-15
40,Douwe,de Vries,NED,M,1982-06-14
51,Mikhail,Kotsjnev,RUS,M,1988-09-09
52,Hiroki,Hirako,JPN,M,1982-08-06
55,Aleksey,Suvorov,RUS,M,1991-09-17
57,Tucker,Fredricks,USA,M,1984-04-16
64,Laurine,van Riessen,NED,F,1987-08-10
65,Mirko Giacomo,Nenzi,ITA,M,1989-11-14
67,Mika,Poutala,FIN,M,1983-06-20
74,Xin,Ma,CHN,F,1986-07-09
76,Keiichiro,Nagashima,JPN,M,1982-04-20
96,Christoffer,Fagerli Rukke,NOR,M,1988-04-17
98,Brittany,Schussler,CAN,F,1985-04-21
100,Norimasa,Zaike,JPN,M,1989-05-06
104,Kyou-Hyuk,Lee,KOR,M,1978-03-16
106,Anna,Rokita,AUT,F,1986-01-30
110,Nico,Ihle,GER,M,1985-12-02
118,Yuliya,Skokova,RUS,F,1982-12-01
126,Bo-Ra,Lee,KOR,F,1986-08-16
131,Beixing,Wang,CHN,F,1985-03-10
135,Jennifer,Plate,GER,F,1986-08-17
145,Andrey,Burlyayev,RUS,M,1983-05-18
146,Markus,Puolakka,FIN,M,1985-05-06
148,Tyler,Derraugh,CAN,M,1986-07-19
152,Artur,Was,POL,M,1986-03-27
153,Roman,Krech,KAZ,M,1989-07-14
178,Tae-Bum,Mo,KOR,M,1989-02-15
183,Alla,Shabanova,RUS,F,1982-10-25
199,Patrick,Beckert,GER,M,1990-04-17
209,Jordan,Belchos,CAN,M,1989-06-22
211,Jorrit,Bergsma,NED,M,1986-02-01
222,Dmitry,Lobkov,RUS,M,1981-02-02
224,Marius,Paraschivoiu,ROU,M,1990-06-07
233,Margot,Boer,NED,F,1985-08-07
242,Seung-Hoon,Lee,KOR,M,1988-03-06
246,Shane,Dobbin,NZL,M,1980-01-22
253,Katarzyna,Wozniak,POL,F,1989-10-05
259,Mitchell,Whitmore,USA,M,1989-12-18
285,Jan,Szymanski,POL,M,1989-03-02
314,Claudia,Pechstein,GER,F,1972-02-22
315,Svetlana,Radkevich,BLR,F,1979-10-09
321,Artyom,Kuznetsov,RUS,M,1987-11-14
329,Vitaly,Mikhailov,BLR,M,1986-08-24
333,Monique,Angermüller,GER,F,1984-01-27
335,Yukana,Nishina,JPN,F,1989-10-24
336,Ewen,Fernandez,FRA,M,1989-02-17
352,Ivan,Skobrev,RUS,M,1983-02-08
357,Svetlana,Kaykan,RUS,F,1978-08-06
359,Robert,Lehmann,GER,M,1984-01-09
363,Yekaterina,Lobysheva,RUS,F,1985-03-13
372,Bo-Reum,Kim,KOR,F,1993-02-06
380,Seon-Yeong,Noh,KOR,F,1989-10-19
385,Alexej,Baumgärtner,GER,M,1988-07-13
389,Dmitry,Babenko,KAZ,M,1985-03-22
401,Marrit,Leenstra,NED,F,1989-05-10
402,Jing,Yu,CHN,F,1985-05-29
405,Gilmore,Junio,CAN,M,1990-08-06
408,Martin,Hänggi,SUI,M,1968-03-17
416,Ferre,Spruyt,BEL,M,1986-04-09
423,Gabriele,Hirschbichler,GER,F,1983-12-26
424,Hege,Bøkko,NOR,F,1991-09-05
435,Kristian Reistad,Frederiksen,NOR,M,1993-05-10
437,Judith,Dannhauer,GER,F,1982-09-03
449,Nan,Wang,CHN,M,1987-05-28
455,Ju-Youn,Lee,KOR,F,1987-10-29
456,Ireen,Wüst,NED,F,1986-04-01
460,Håvard,Bøkko,NOR,M,1987-02-02
464,Sven,Kramer,NED,M,1986-04-23
470,Slawomir,Chmura,POL,M,1983-11-05
471,Luca,Stefani,ITA,M,1987-02-22
473,Yekaterina,Aydova,KAZ,F,1991-07-30
489,Christine,Nesbitt,CAN,F,1985-05-17
497,Alexey,Yesin,RUS,M,1987-12-03
499,Yuliya,Liteykina-Nemaya,RUS,F,1977-12-30
501,Shiho,Ishizawa,JPN,F,1986-10-23
503,Daniel,Greig,AUS,M,1991-03-13
505,Bailin,Li,CHN,M,1992-10-20
515,Joji,Kato,JPN,M,1985-02-06
520,Ida,Njåtun,NOR,F,1991-02-06
538,Marco,Weber,GER,M,1982-09-28
539,Jesper,Hospes,NED,M,1988-10-19
544,Igor,Bogolubsky,RUS,M,1985-05-27
547,Sang-Hwa,Lee,KOR,F,1989-02-25
554,Jan,Smeekens,NED,M,1987-02-11
555,Brittany,Bowe,USA,F,1988-02-24
560,Denny,Ihle,GER,M,1984-12-16
562,Ronald,Mulder,NED,M,1986-02-27
576,Peiyu,Jin,CHN,F,1985-04-17
581,Bob,de Jong,NED,M,1976-11-13
595,Jamie,Gregg,CAN,M,1985-03-18
596,Richard,Maclennan,CAN,M,1991-03-11
613,Michel,Mulder,NED,M,1986-02-27
629,Viktor,Gluschenko,KAZ,M,1983-07-08
631,Eriko,Ishino,JPN,F,1985-12-01
636,Erina,Kamiya,JPN,F,1992-05-01
637,Miyako,Sumiyoshi,JPN,F,1987-03-19
660,Cindy,Klassen,CAN,F,1979-08-12
663,Espen Aarnes,Hvammen,NOR,M,1988-11-13
668,Hyun-Yung,Kim,KOR,F,1994-10-19
692,Bart,Swings,BEL,M,1991-02-12
697,Samuel,Schwarz,GER,M,1983-08-22
700,Ayaka,Kikuchi,JPN,F,1987-06-28
701,Shannon,Rempel,CAN,F,1984-11-26
704,Yuya,Oikawa,JPN,M,1981-01-16
713,William,Dutton,CAN,M,1989-11-28
714,Miho,Takagi,JPN,F,1994-05-22
728,Yuji,Kamijo,JPN,M,1986-04-17
735,Joshua,Lose,AUS,M,1986-07-03
738,Jenny,Wolf,GER,F,1979-01-31
740,Hyeong-Joon,Joo,KOR,M,1991-04-22
746,Denis,Yuskov,RUS,M,1989-10-11
756,Sverre Lunde,Pedersen,NOR,M,1992-07-17
770,Linda,de Vries,NED,F,1976-09-22
780,Maksim,Baklashkin,KAZ,M,1988-03-09
782,Maki,Tsuji,JPN,F,1985-04-27
796,Anastasia,Bucsis,CAN,F,1989-04-30
804,Maria,Lamb,USA,F,1986-01-04
805,Ki-Ho,Lee,KOR,M,1984-08-17
811,Martina,Sáblíková,CZE,F,1987-05-27
821,Olga,Fatkulina,RUS,F,1990-01-23
826,Yekaterina,Malysheva,RUS,F,1987-01-28
835,Kang-Seok,Lee,KOR,M,1985-02-28
838,Teppei,Mori,JPN,M,1984-07-29
840,Zdenek,Haselberger,CZE,M,1985-05-19
845,Heather,Bergsma,USA,F,1989-03-20
854,Yekaterina,Shikhova,RUS,F,1985-06-25
861,Kelly,Gunther,USA,F,1987-08-14
864,Jonathan,Kuck,USA,M,1990-03-14
882,Isabell,Ost,GER,F,1988-10-21
891,Stefan,Groothuis,NED,M,1981-11-23
896,Kaitlyn,McGregor,SUI,F,1994-03-03
897,Hong,Zhang,CHN,F,1988-04-12
912,Lauren,Cholewinski,USA,F,1988-11-15
913,Karolina,Erbanova,CZE,F,1992-10-27
917,Natalia,Czerwonka,POL,F,1988-10-20
925,Anice,Das,NED,F,1985-12-31
